
? CHAPTER ONE  ?
6  Huge fully armed figure cast in pure obsidian from top to base stands tall. Its armor is spiked and its hands rest on the hilt of its sword, which rests point down into the base. 
7  Huge obsidian stone statue of a spider spans the street, forcing people to walk beneath its belly.  Its origins are unknown.
8  Large silver unicorn statue acts as the centerpiece of a large fountain. At night the unicorn's horn glows brightly, providing a soft light to all those who tarry around it.
9  Marble statue of an elf rises from the base and roots of an ancient tree. The tree must have been massive while it lived, and the figure's meticulous craftsmanship suggests a nonhuman sculptor.
10  Monument of an elf riding a wolf and holding a book, its backpack overflowing with scrolls.  It is titled Tristam's Legacy.
11  Pillar of souls, a monolith made entirely of skulls. Stark white in color, mist appears to spill out from the mouths rising to the sky. When wind blows the right way it sounds like it is moaning.
12  Primitive statue stands at the entrance to the city. Made of local stone and weathered by time it still stands its full eight feet tall. In goblin the plaque states  Uglemesh great leader and king of mighty clans.
13  Serpent's Rock. This enormous rock is shaped like a dragon. On the belly is a memorial to a silver dragon that once defended the area.
14  Small stone, about the size of a large tome, lies half in and half out of the ground. It seems a marker of some sort but the writing is difficult to make out. 
15  Statue of an armored knight. "To honor all those who fell before you" is inscribed at the base. Foul markings have been scribed on its surface.
16  Statue of a plate-armored figure with his sword raised high and the symbol of the god of valor on his shield. "In honor of Laramo who valiantly strove against evil no matter the odds."
17  Stones hang in a perfectly circular formation from their bases, each one carved with a historical scene which spirals down from base to tip in chronological order. 
18  Tall, once pure-white obelisk rises to the sky. It is covered with strange ancient writings and is rumored to be only one of many.
19  Torren's Might: A statue of Torren the adventurer mentalist of Redlarch, longspear in hand, who died while killing a great black dragon.
20  Tree is actually a sculpture, living and growing. Its branches twist and turn in fanciful ways. Every tiny branch has been sculpted, even to the very top branches, suggesting it was done either by small winged creatures or is the work of magic.

? CHAPTER THREE  ?

Table 3–66: Gravestone Description
1  Aldeman Targath: Lived 68 years, died 2 months ago.    "Merchant, Mayor, Friend" is marred by graffiti that reads "Burn in Hell."
2  Shane Ashar: Lived 82 years, died 47 years ago.   His headstone has fallen down and cracked in half. "Patriarch of the Finneran Clan."
3  Brother Silas: Lived 47 years, died 73 years ago.   The weather-worn plaque on his gravestone reads, "May his next life be as full as this one was."
4  Darlen Olafsdottir: Lived 23 years, died 19 years ago.   "A life for a life, mother to daughter. We miss you, always."
5  Eldara Sinaralin: Lived 659 years, died 7 years ago.   An arrow trailing sparks behind it across a crescent moon is carved into her headstone.
6  Esmeralda Tetkith: Lived 113 years, died 17 years ago.  "Best cook in the land," followed by "Always go easy on the basil. Too much can overwhelm the stew."
7  Herrin Charlas: Lived 21 years, died 4 years ago.  "Beloved son, brave warrior. Evil took him from us too soon."
8  Hettie Bonchell: Lived 38 years, died last week.  "Dearest soul mate, wondrous mother" is partially obscured by a flowered grave blanket.
9  Ilsa Trueweave: Lived 482 years, died 26 years ago.  "World's Greatest Illusionist." A permanent illusion makes the words flash in different colors.
10  Kanira Petal: Lived 12 years, died 14 years ago.  A single wildflower grows on her grave, and the angel-topped headstone reads,  "Sleep well, little one. Our Lady holds thee now."
11  Lerthan Hammerhand: Lived 178 years, died 87 years ago. His sturdy, black stone monument has a carving of an anvil, a hammer, and tongs on it.  It looks as though it is cleaned regularly.
12  Oltar Keselmun: Lived 60 years, died 8 years ago.   This headstone is small and simple. It is overgrown with weeds and neglected.
13  Phinean Kanter: Lived 34 years, died 8 years ago.   His simple marker is covered in filth. Beneath the grime, it reads, "May he know no peace."
14  Rendril Batenford: Lived 211 years, died 28 years ago. A baying wolf and a wickedly curved blade are carved on his monument.
15  Seldin Ironhand: Lived 51 years, died 12 years ago.   A huge monument topped with a holy symbol and carved with accounts of his deeds marks this grave.  The guards next to it, hired from a mercenary company in perpetuity, only reinforce this paean to his ego.
16  Sir Carthon of Angare: Lived 52 years, died 6 years ago.  A shield decorated with a mailed hand holding a ball of flame is carved on this monument.
17  Thog: Lived 32 years, died 2 years ago.   "The gentlest of giants, protector of our children." Toys, seemingly left in tribute, lie about the headstone.
18  Tomas Alrain Ixelmeier: Lived 4 years, died 6 years ago.A lamb is carved into this headstone, and fresh flowers lie on top of the grave.
19  Yaniza El-Fariq: Lived 26 years, died 3 years ago.   A craven sigil is carved into the strange stone marker, defaced by the word "Witch" painted on it in red.
20  Zyndris Farseer: Lived 96 years, died 10 years ago.  This is in the shape of a pedestal with a book on it. Inscribed on the book is a quote:  "True wisdom flows from the heart, not the mind."

? CHAPTER THREE  ?
Economic Commerce

Table 3–67: Prime Industry
1  Artists
2  Bakeries and brewing
3  Carpentry/construction
4  Cartwrights/wainwrights
5  Coal mining
6  Colleges/universities
7  Copper mining
8  Farming (surrounding land)
9  General mining
10  Gold mining
11  Guilds
12  Herding (surrounding land)
13  Iron mining
14  Libraries and museums
15  Masonry/construction
16  Mills
17  Shipwrights
18  Silver mining
19  Smithing
20  Trade
Table 3–68: Caravan Goods 1
1  Alcohol
2  Armor/barding 
3  Barrels/baskets 
4  Beans 
5  Berries 
6  Books 
7  Bronze 
8  Brushes 
9  Canvas 
10  Camel hair 
11  Ceramics 
12  Cloth 
13  Clothes, finished 
14  Coal 
15  Cocoa 
16  Coffee 
17  Cookware 
18  Copper 
19  Cotton 
20  Crafts, finished 
Table 3–69: Caravan Goods 2
1  Decorative pottery 
2  Dried food 
3  Dye 
4  Gems 
5  Glassware 
6  Gold 
7  Grain (barley, oatmeal, rye, etc.) 
8  Herbs 
9  Honey 
10  Incense 
11  Ink 
12  Iron 
13  Jewelry 
14  Lamps/lanterns 
15  Linen 
16  Livestock 
17  Lye 
18  Musical instruments 
19  Nuts 
20  Oil 
 
Table 3–70: Caravan Goods 3
1  Ore, unrefined 
2  Paper 
3  Pelts 
4  Perfume 
5  Rawhide 
6  Rope 
7  Rugs 
8  Sailcloth 
9  Salt 
10  Seeds 
11  Silk 
12  Silver 
13  Slaves 
14  Spices 
15  Sugar 
16  Tea 
17  Tobacco 
18  Tools 
19  Weapons 
20  Wool 
 

? CHAPTER THREE  ?
Table 3–71:  special Market Goods 1
1  Animal Products
2  Baskets 
3  Bells 
4  Bolts of fabric 
5  Candles 
6  Carnivorous plant seeds or sprouts 
7  Cheese, cow or goat 
8  Colored inks or paints 
9  Cure-alls, real or false 
10  Cutlery 
11  Dungeon loot 
12  Dyed yarn 
13  Exotic animals 
14  Exotic foods 
15  Fertilizer (fresh or dried) 
16  Firewood 
17  Flour (wheat, rye, or barley) 
18  Fortune telling or tarot reading 
19  Garden produce 
20  Glass trinkets and baubles 
 
Table 3–72:  special Market Goods 2
1  Herbs, fresh and dried 
2  Honey or molasses 
3  Horn (drinking horns and blowing horns) 
4  Ivory and scrimshaw 
5  Leather products (belts, sacks, water skins)
6  Local fruit (see Table 3–80) 
7  Magical beasts' young or eggs 
8  Maps and cases or books 
9  Melons 
10  Mushrooms (fresh, dried, or marinated) 
11  Nonmetal jewelry (bone, coral, shell, stone)
12  Nuts (in shells, shelled, or in syrup) 
13  Oils, flammable or edible 
14  Perfume, scented oils, and soap 
15  Pickled products (see Table 3–82) 
16  Pipes and tobacco 
17  Pots and pans (bread, cake, frying, pie, tea) 
18  Rugs or tapestries 
19  Trapper wares (unusual meats and pelts) 
20  Wool products (socks, coats, and blankets) 

Table 3–73: Domestic Animals/Pets
1  Bee
2  Camel
3  Canary
4  Cat
5  Dog, guard (bandog)
6  Dog, herding
7  Dog, hunting
8  Donkey
9  Dove
10  Horse, draft
11  Horse, riding
12  Llama
13  Mouse/Rat
14  Monkey
15  Reindeer
16  Mule
17  Snake
18  Spider/Tarantula
19  Ox
20  Yak
 

Table 3–74: Livestock
1  Alpaca
2  Bison
3  Buffalo
4  Bull
5  Calf
6  Cow
7  Deer
8  Game Fowl (see table 3–75)
9  Goat
10  Horse
11  Lamb
12  Llama
13  Mule
14  Ox
15  Pig
16  Rabbit
17  Reindeer
18  Rooster
19  Sheep
20  Yak

? CHAPTER THREE  ?

Table 3–75: Game Fowl
1  Bittern
2  Duck
3  Finch
4  Game hen
5  Goose
6  Grouse
7  Guinea hen
8  Heron
9  Lark
10  Moorhen
11  Ostrich
12  Partridge
13  Pheasant
14  Pigeon
15  Plover
16  Quail
17  Snipe
18  Thrush
19  Turkey
20  Woodcock

Table 3–76: Fish
1  Albacore
2  Anchovy
3  Bass, sea
4  Blue fish
5  Carp
6  Cod
7  Flounder
8  Grouper
9  Hake
10  Halibut
11  Herring
12  Mackerel
13  Ocean perch
14  Red snapper
15  Rockfish
16  Roughy
17  Swordfish
18  Tuna
19  Turbot
20  Yellowtail

Table 3–77: Bread Products
1  Barley bread
2  Biscuit
3  Biscuit, ship's
4  Black bread
5  Corn bread
6  Croissant
7  Dumpling
8  Fruit bread
9  Hard roll
10  Hardtack
11  Muffin
12  Oatmean bread
13  Pancake
14  Roll
15  Rye bread
16  Sweet bread
17  Tortilla
18  Wheat bread
19  White bread
20  Whole wheat bread

Table 3–78: Basic Food
1  Beef
2  Berries
3  Biscuit
4  Bread
5  Buttermilk
6  Cake
7  Cheese
8  Cookie
9  Dumpling
10  Egg
11  Fish
12  Fruit
13  Milk
14  Nuts
15  Oats
16  Pickles
17  Poultry
18  Rice
19  Sweet roll
20  Vegetable

? CHAPTER THREE  ?

Table 3–79: Garden Produce
1  Beans
2  Beets
3  Broccoli
4  Cabbage
5  Carrots
6  Cauliflower
7  Corn
8  Cucumber
9  Eggplant
10  Garlic
11  Lettuce
12  Onions
13  Peas
14  Potatoes
15  Pumpkin
16  Radishes
17  Spinach
18  Squash or zucchini
19  Tomato
20  Turnips

Table 3–80: Fruits (fresh, in jars, or dried) 
1  Apples 
2  Apricots 
3  Blackberries 
4  Black currants 
5  Blueberries 
6  Cherries, bitter 
7  Cherries, sweet 
8  Cloudberries 
9  Elderberries 
10  Gooseberries 
11  Grapes 
12  Loganberries 
13  Peaches 
14  Pears 
15  Plums 
16  Quince 
17  Raspberries 
18  Red currants 
19  Strawberries 
20  White currants 

Table 3–81: Exotic Foods*
1  Avocado 
2  Banana 
3  Breadfruit 
4  Coffee (tropical) 
5  Coconut 
6  Dates and figs (warm and arid climates) 
7  Guava 
8  Kiwi 
9  Lemon 
10  Lychee (Asian regions) 
11  Mango 
12  Olives (Mediterranean climates) 
13  Orange 
14  Papaya 
15  Passion fruit 
16  Pineapple 
17  Pomegranate 
18  Rhubarb (Asian areas) 
19  Sweet potato (tropical) 
20  Tamarind
 

Table 3–82: Pickled Foods
1  Asparagus
2  Beans
3  Beets/turnips
4  Cabbages
5  Capers
6  Chilies/hot peppers
7  Carrots
8  Cucumbers/gherkins
9  Eggplant
10  Eggs
11  Fish
12  Garlic
13  Ginger
14  Green beans
15  Mixed pickled vegetables
16  Mushrooms
17  Olives
18  Onions
19  Radishes
20  Sauerkraut

? CHAPTER THREE  ?
Table 3–83: Clothing 1
1  Apron
2  Blouse
3  Boots
4  Buskins
5  Cannon
6  Cape
7  Cassock
8  Coat
9  Codpiece
10  Cowl
11  Doublet
12  Dress
13  Frock
14  Gloves
15  Gown
16  Jacket
17  Jerkin
18  Jersey
19  Kilt
20  Leggings
 
Table 3–84: Clothing 2
1  Loincloth
2  Pantaloons
3  Pants
4  Parka
5  Petticoat
6  Pinafore
7  Poncho
8  Robe
9  Sari
10  Scarf
11  Shirt
12  Skirt
13  Slip
14  Slippers
15  Smock
16  Tabard
17  Tights
18  Trousers
19  Vest
20  Waistcoat
Table 3–85: Common Tools 1
1  Axe
2  Bit and brace
3  Broom
4  Brush
5  Chain-cutter
6  Chisel
7  Clamp
8  Crow bar
9  Cutters
10  Drawknife
11  Drill
12  File
13  Gouge
14  Grindstone
15  Hammer
16  Hammer, sledge
17  Hatchet
18  Hay fork
19  Hoe
20  Hook
 
Table 3–86: Common Tools 2
1  Knife
2  Mallet
3  Measuring line
4  Measuring stick
5  Mop
6  Pickaxe
7  Pliers
8  Pry bar
9  Punch
10  Rake
11  Right angle
12  Rope
13  Saw
14  Sawhorse
15  Scissors
16  Scythe
17  Shears
18  Shovel
19  Sickle
20  Spade
 

? CHAPTER THREE  ?

Table 3–87: Furs
1  Bear
2  Beaver
3  Cheetah
4  Cougar
5  Ermine
6  Fox
7  Jaguar
8  Lamb
9  Leopard
10  Lion
11  Lynx
12  Marmot
13  Mink
14  Otter
15  Puma
16  Rabbit
17  Sable
18  Seal
19  Tiger
20  Wolf

Table 3–88: Healer Goods
1  Balm
2  Bandages, gauze, etc.
3  Brace
4  Cream
5  Curative
6  Digestive
7  Elixir
8  Extract
9  Gel
10  Infusion
11  Lotion
12  Mixture
13  Oil
14  Ointment
15  Plaster
16  Poultice
17  Restorative
18  Salve
19  Tonic
20  Water

Table 3–89: Medicinal Herbs
1  Angelica, a digestive tonic
2  Anise, for insomnia
3  Balm, as a skin purifier or sedative
4  Basil, an anti-inflammatory
5  Chamomile, for wounds and open sores
6  Foxglove, as a purifier
7  Garlic, as an antiseptic
8  Hawthorn, for blood pressure
9  Henbane, a poisonous narcotic and sedative
10  Laurel, as a tonic for soothing
11  Mallow, for swollen eyes or lung inflammation
12  Mandrake, for cough, asthma or hay fever
13  Mugwort, as a sedative
14  Nettle, as an anti-inflammatory
15  Nightshade, a poisonous remedy for fever
16  Rosemary, as a stimulant
17  Sage, as an antiseptic
18  Skullcap, for spasms or convulsions
19  Valerian, as a calming sedative
20  Wormwood, for gallbladder and liver


? CHAPTER THREE  ?
Table 3–90: Coin Names 1
1  Candareen
2  Cent
3  Circlet
4  Condor
5  Cross
6  Crown
7  Denier/Dinar
8  Doubloon
9  Dragon
10  Dreyling
11  Ducat
12  Eagle
13  Falcon
14  Florin
15  Guilder
16  Guinea
17  King
18  Koban
19  Kroner
20  Laurel
Table 3–91: Coin Names 2
1  Noble
2  Queen
3  Pence/Penny
4  Pinch
5  Pound
6  Prince
7  Real
8  Regal
9  Royal
10  Shilling
11  Skull
12  Sovereign
13  Stamp
14  Star
15  Stepple
16  Sun
17  Talons
18  Tirce
19  Warrant
20  Zehner

Table 3–92: Merchant Houses: Livery/Primary Goods
1  Bosele Family. A black griffin on a silver background.  Precious metals and iron.
2  Dasent, Harmunger, and Associates. A tome of gold on a red background.  Books and paper products.
3  Deneldin Family. A sheep with a calligraphic "D" on it.  Wool and other fabrics.
4  Fenin and Urelli. A gold coin on scarlet.  Precious metals and uncut gems.
5  House Bairnbaum. A stylized sun rising over a tree.  Finished wood products.
6  House Endiri. A heavily muscled arm holding a battleaxe.  Weapons and armor.
7  House Engel. A silver needle threaded with gold on black velvet background.  Silk and fabrics.
8  House Melarin. A yellow hippogriff against royal blue.  Paintings, sculptures, and exotic goods.
9  House Orinion. A unicorn horn on a purple background.  Ivory, spices, and silk.
10  House Wenteera. A white bull on a black field.  Livestock and horses. Secretly runs a slave trade.
11  Ikoorl and Daughter. A stylized serpent holding a winged scepter in its tail.  Exotics and art objects.
12  Ironhand Trading Co. A stylized dwarf holding a pick.  Iron, copper, lead, and base metals.
13  Jarnour Family. A raven perched on the fin of a large fish.  Fish and other foodstuffs.
14  Lartmunder and Sons. A stein clutched in a mailed fist.  Ale and spirits.
15  Pendel and Sons. The silhouette of a pine tree sitting on an open palm.  Lumber.
16  Ruggboden and Family. Three casks stamped with a gothic-style "R."  Ale, mead, and exotic beverages.
17  Silineer, Frassus, and Yarl. Brilliant-cut sapphire on a red-trimmed, white cushion.  Gems and jewelry.
18  Stonehammer Clan. A hammer and chisel.  Migrant dwarven workers, engineers, and architects.
19  Venoriol Family. A wine glass sitting on a grape leaf.  Fine wines.
20 Zentura and Larvin. Three horses pulling plows.  Foodstuffs, spices, and seeds.

? CHAPTER THREE  ?

Table 3–93: Common Crafts/Professions
1  Barrelmaking
2  Bookbinding
3  Bowmaking
4  Bricklaying
5  Calligraphy
6  Carpentry
7  Casting
8  Cobbling
9  Gemcutting
10  Glassblowing
11  Leatherworking
12  Locksmithing
13  Needlework
14  Painting
15  Pottery
16  Sculpting
17  Smithing
18  Stonemasonry
19  Woodcarving
20  Weaving

Table 3–94: Magic item Availability
1  Item is not available and will not be.
2  Item is not available and will not be.
3  Item is not available and will not be.
4  Item is not available and will not be.
5  Item is not available, but name/location of someone who may be commissioned to make it is provided.
6  Item will be available in about two months.
7  Item will be available in about a month.
8  Item will be available in about two weeks.
9  Item will be available in about a week.
10  Item will be available in 1d4 days.
11  Item will be available in 24 hours.
12  Item is available*, 1 available
13  Item is available*, 1d4 available
14  Item is available*, 1d6 available
15  Item is available*, 1d8 available
16  Item is available*, 1d10 available
17  Item is available*, 2d4 available
18  Item is available*, 2d6 available
19  Item is available*, 2d8 available
20  Item is available*, potentially limitless


? CHAPTER THREE  ?
crime
Table 3–95: Pick Pocket Yield 1
1  1d3cp
2  1d6cp
3  1d10cp
4  1d6cp, 1d6sp
5  1d10cp, 1d8sp
6  1d3cp, 1d8sp, 1gp
7  2d6sp
8  1d20sp
9  1d8sp, 1d3gp
10  1d3cp, 1d3sp, 1d3gp
11  1d6cp, 1d6sp, 1d6gp
12  1d10cp, 1d10sp, 1d10gp
13  1d20cp, 2d6sp, 1d12gp
14  1d6cp, 1d12sp, 1d20gp
15  1d4cp, 3d4sp, 3d4gp
16  1d12sp, 1d12gp
17  1d4cp, 1d4sp, 1d20gp
18  1d20cp, 1d4sp, 1d10gp
19  1d8cp, 2d8sp, 1d4gp
20  1d20cp, 1d20sp, 1d20gp
Table 3–96: Pick Pocket Yield 2
1  2cp
2  3cp
3  6cp
4  7sp
5  11sp
6  4cp, 3sp
7  5cp, 4sp
8  4sp, 2gp
9  8sp, 7gp
10  2cp, 2sp, 2gp
11  2cp, 3sp, 11gp
12  2cp, 4sp, 1gp
13  3cp, 8sp, 7gp
14  4cp, 3sp, 2gp
15  4cp, 7sp, 11gp
16  4cp, 9sp, 2gp
17  7cp, 6sp, 5gp
18  11cp, 2sp, 6gp
19  11cp, 7sp, 6gp
20  11cp, 10sp, 9gp
Table 3–97: Pick Pocket Yield 3
1  Archery gloves
2  Badge
3  Bell
4  Belt pouch
5  Bowl
6  Brooch
7  Cameo
8  Candle
9  Cape
10  Chalk
11  Charcoal
12  Cloth
13  Compass
14  Cup
15  Dagger
16  Dart
17  Decanter
18  Diamond
19  Diamond, flawed
20  Diamond, uncut
Table 3–98: Pick Pocket Yield 4
1  Dice
2  Flask (empty)
3  Flask of acid
4  Flask of alcohol
5  Flask of blood
6  Flask of fine wine
7  Flask of Greek fire
8  Flask of holy water
9  Flash of "moonshine"
10  Flask of oil
11  Flask of paint
12  Flask of perfume
13  Flask of powder/salt
14  Flask of spoiled milk
15  Flask of vinegar
16  Flask of water
17  Flint and steel
18  Foodstuff
19  Foodstuff wrapped in cheesecloth
20  Fork

? CHAPTER THREE  ?
Table 3–99: Pick Pocket Yield 5
1  Gem
2  Handkerchief
3  Hairpin
4  Healing salve
5  Holy symbol
6  Hunting knife
7  Iron rod
8  Iron spike
9  Jagged nails/metal shards
10  Jar (empty)
11  Jar of fine powder
12  Jar of food
13  Jar of spices
14  Jar of stewed vegetables
15  Jewelry
16  Jeweler's hammer
17  Key
18  Keys, ring of
19  Knife
20  Knucklebones
Table 3–100: Pick Pocket Yield 6
1  Leather cap
2  Leather strap
3  Letter, address
4  Letter, architectural drawing
5  Letter, arrest warrant
6  Letter, award
7  Letter, bill
8  Letter, building plans
9  Letter, code/cipher
10  Letter, contract
11  Letter, crier/script
12  Letter, crumbled*
13  Letter, deed
14  Letter, debt
15  Letter, directions
16  Letter, forms (filled)
17  Letter, forms (unfilled)
18  Letter, instructions
19  Letter, love
20  Letter, marriage certificate
Table 3–101: Pick Pocket Yield 7
1  Letter, military orders
2  Letter, music notes
3  Letter, newspaper sheet
4  Letter, open (torn or cut)
5  Letter, order
6  Letter, password
7  Letter, poem
8  Letter, plans
9  Letter, prayer
10  Letter, ransom
11  Letter, recipe
12  Letter, sealed
13  Letter, shoppping list
14  Letter, shipping manifest
15  Letter, sketch
16  Letter, spell
17  Letter, treaty
18  Letter, wanted poster
19  Letter, will
20  Letter, writ
Table 3–102: Pick Pocket Yield 8
1  Lock
2  Lock and key
3  Lodestone
4  Magnet
5  Magnifying glass
6  Manacles
7  Map, leather
8  Map, parchment
9  Map, vellum
10  Mask
11  Mason jar
12  Medal
13  Medallion
14  Metal brush
15  Mirror
16  Monacle
17  Mug, small
18  Necklace with charm
19  Orison charm
20  Opera sheet music

? CHAPTER THREE  ?
Table 3–103: Pick Pocket Yield 9
1  Page torn from book
2  Page torn from journal
3  Page torn from law book
4  Page torn from ledger
5  Page torn from newspaper
6  Page torn from novel
7  Page torn from opera/play
8  Page torn from prayer book
9  Page torn from spellbook/ritual
10  Page torn from unholy text
11  Pan pipes
12  Parchment
13  Pen
14  Pencil
15  Pendant
16  Perfume bottle
17  Pin
18  Piton
19  Potion
20  Prism
Table 3–104: Pick Pocket Yield 10
1  Pouch of biscuits/hardtack
2  Pouch of buttons
3  Pouch of clover
4  Pouch of coins
5  Pouch of charms/fetishes
6  Pouch of fine powder/flour
7  Pouch of gems
8  Pouch of glass beads
9  Pouch of herbs
10  Pouch of marbles
11  Pouch of metal shavings
12  Pouch of nails
13  Pouch of nuts and dried fruit
14  Pouch of rock/shell collection
15  Pouch of sand
16  Pouch of seeds
17  Pouch of small mammal teeth
18  Pouch of soot
19  Pouch of tea leaves
20  Pouch of trinkets
Table 3–105: Pick Pocket Yield 11
1  Quill
2  Religious icon
3  Ring
4  Ring, signet
5  Rope
6  Scarab
7  Scroll case
8  Sealing wax
9  Sewing needle and thread
10  Silk scarf
11  Silver dagger
12  Smokestick
13  Smoking pipe
14  Snuff box, ivory
15  Snuff box, jade
16  Snuff box, metal
17  Snuff box, ornate
18  Snuff box, wooden
19  Soap
20  Soap, perfumed
Table 3–106: Pick Pocket Yield 12
1  Spectacles
2  Spoon
3  Spell components
4  String
5  Thieves' tools
6  Tinderbox
7  Tobacco
8  Toy
9  Trinket
10  Vial (empty)
11  Vial of alchemical powder
12  Vial of antitoxin
13  Vial of dead insects
14  Vial of holy water
15  Vial of poison
16  Vial of rare herbs
17  Vial of unholy water
18  Waterskin/Wineskin
19  Whetstone
20  Whistle

? CHAPTER THREE  ?
Table 3–107: Adventurer's Backpacks 1
1  5 ft. of chain, iron rations (1 day), lead pipe, necklace with cameo, silver dust, waterskin (leaking)
2  10 ft. silk rope, black silk mask, chalk, dried apples (four), smoked meat, salt lick, steel mirror
3  50 ft. silk rope, acid vial, gold cloak pin, hardtack, jar of black grease, tattoo needle, unholy symbol
4  Acid vial, bag of fruit, half-eaten turkey leg, silk bedroll, steel trap, wooden box of caltrops
5  Arrow fitted with quill tip, map case filled with paintbrushes, small journal, small steel mirror, 4gp
6  Artisan's tools, book, gem (100gp), magnifying glass, map case, thieves' tools, vial of acid, vial of poison
7  Bandage rolls (two), brandy flask, breadcrumbs, mistletoe, pan pipes, thick leather belt, wooden box
8  Bar of lavender soap, fileting knife in sheath, hairbrush, hand mirror, manacles, wanted poster
9  Bar of rough soap, leather pouch with gem, oil flask, two matching broken arrows, wooden map case
10  Bedroll, iron rations (5 days), lockpicks hidden in seam, pipe and pouch of tobacco, vial of poison
11  Bell, blanket, dagger, diary, ink, merchant's scale, manacles, quill, pouch of nails, smoking pipe
12   Belt, belt pouch, fishhook, iron pot, mug, short bow, three arrows, vial (empty), whetstone, wineskin
13  Bone case (empty), dog collar and whistle, hourglass, ivory flute, map case with sheet music, 7sp
14  Book of poetry, personal journal, mapmaking tools, pen and ink, ring or keys, steel bracelet, 3gp
15   Boots, cape, chalk, crudely drawn map, dart, healing salve, iron spike, jar of grease, piton, two daggers
16  Blanket, folding stool, flint and steel, magnifying glass, silk pouch with 10gp, two empty potion vials
17  Bolt of silk, chipped knife, dice, holy water, musical instrument, snuff box, tongs, wooden bucket
18  Bottle of rum, navigation instruments, preserved creature's eye in jar of formaldehyde, tinderbox
19  Bottle of wine, fishing net, flask of fragrant oil, map case with map (several Xs), oil lamp, tinder box
20  Bread, comb, hatchet, ornate snuff box, mirror, soap, smoking pipe, wooden stake, wool cloak, 6sp
Table 3–108: Adventurer's Backpacks 2
1  Burn salve, coffer, decanter, flask of acid, healer's kit, helmet visor, hooded lantern, pillow, whetstone
2  Candle, dice, fruit, magnifying glass, mortar and pestle, silk scarf, vial of perfume, wineskin, 15sp, 3gp
3  Charcoal sticks, flask of rum, jar with a cricket inside, map case with parchment, small silver bell
4  Clay mug, dwarven runestone, gemcutter tools, hourglass, smoking pipe, spell component pouch
5  Cold iron lock and key, grappling hook (broken), note with address (crumbled), pungent cheese wrapped in oilskin, three white candles, signet ring, vial of perfume, vial of red ink, whetstone
6  Cooking utensils, dagger, fine silver thread, iron pot, shield (dented), short sword, spices, whetstone
7  Crowbar, gold and ruby earring, lockpick (broken), jar of buttons, needle, spool of black thread
8  Crowbar, four arrows, grappling hook, lantern, merchant log book, sickle, sword hilt, throwing axe
9  Crowbar, hunting knife, lock, parchment, pipes, short sword, scroll case, sealing wax, tuning fork
10  Dice, merchant gram weights, pliers, polished silver mirror, pouch of soot, silver ring, spyglass
11  Fish hook and string piercing a wine cork, grappling hook, loaf of bread, sack (empty), wine skin
12  Gold bar (1 pound), gold ingot (1 pound), hairpin, silk scarf, tartan cloth, torn page of journal, 17pp
13  Gold necklace (broken), flask of holy water, tiny silver dagger, spool of thin wire, whetstone
14  Hammer, iron pot, pitons (six), sack of marbles, skin of ale, throwing knife case (empty), 14cp
15  Holy symbol, poem, pouch of marbles, signet ring, silver necklace, silver dagger. spyglass, tobacco
16  Holy symbol (gold), leather belt pouch, roc feathers (seven), spyglass, 6gp hidden in seam
17  Iron rations (three days), love letter (crumbled), sack (empty), silver ink pen, vial of salt, vial of soot
18  Letter (to mayor), journal, pen, pencil, prism, silk pouch, snuff box, tabacco, toy, whistle, 4cp
19  Map, map case, pouch of glass beads, scarab, tinderbox, vial of antitoxin, vial of blood, vial of ink
20  Map, mirror, pouch of feathers, silk scarf, soap, tunic, vial (antitoxin), vial (empty), whistle, wineskin

? CHAPTER THREE  ?
Table 3–109: Unusual Thief Tools 1
1  Acid
2  Air bladder
3  Alcohol
4  Ash/soot
5  Ball of twine
6  Blade boots
7  Book
8  Bottle of dye
9  Caged sparrow
10  Caltrops
11  Candy
12  Cat stink
13  Chalk
14  Change of clothes
15  Charcoal
16  China marker
17  Compass
18  Dice or dice cup
19  Disguise kit
20  Drugged meat
Table 3–110: Unusual Thief Tools 2
1  Emergency rations
2  Empty glass vial
3  Eyeglass
4  Fake diamonds
5  Finger blade
6  Fishing wire
7  Forged identification papers
8  Garrote
9  Gem
10  Glass cutter
11  Gloves
12  Glue
13  Grappling hook
14  Hidden pouch
15  Holy symbol
16  Ink
17  Ink brush
18  Ink pen
19  Itching powder
20  Jewels for bribe
Table 3–111: Unusual Thief Tools 3
1  Knife
2  Lens
3  Listening cup
4  Little black book
5  Lockpicks
6  Lucky charm
7  Map
8  Marbles
9  Mask
10  Metal file
11  Money belt
12  Mug
13  Notebook
14  Oil
15  Paint
16  Paintbrush
17  Paper
18  Putty or clay
19  Raw meat
20  Rope
Table 3–112: Unusual Thief Tools 4
1  Sand
2  Sealed message
3  Seeds
4  Shaved coin
5  Shovel
6  Silver dust
7  Skin of water
8  Small sack
9  Smoke bomb
10  Sneezing powder
11  Spoiled meat
12  Spyglass
13  Thunderstone
14  Tindertwig
15  Umbrella
16  Various coins from various realms
17  Vial of bleach
18  Wig
19  Wire
20  Wire cutter

? CHAPTER THREE  ?
Table 3–113: Improvised Weapons 1
1  Barrel
2  Beer mug or bottle 
3  Belaying pin 
4  Belt
5  Boot or shoe
6  Boiling water
7  Brick 
8  Broken glass
9  Broom or mop 
10  Candelabra 
11  Cane or walking stick
12  Cloak
13  Crockery
14  Fireplace poker 
15  Frying pan 
